Trimester,Croissance
2018-07-01,3.2
2018-10-01,3.1
2019-01-01,2.7
2019-04-01,3.8
2019-07-01,3.0
2019-10-01,2.1
2020-01-01,-0.8
2020-04-01,-14.9
2020-07-01,-7.5
2020-10-01,-5.4
2021-01-01,2.2
2021-04-01,14.3
2021-07-01,8.7
2021-10-01,7.7
2022-01-01,0.5
2022-04-01,2.2
2022-07-01,1.7
2022-10-01,0.7
2023-01-01,3.5
