Trimester,PC1
2018-07-01,-1.2061741522702485
2018-10-01,-0.475900359209149
2019-01-01,-0.610412578560858
2019-04-01,-1.2209814709107036
2019-07-01,-0.5334420957806603
2019-10-01,-0.43937012506599293
2020-01-01,0.8365023477180616
2020-04-01,2.603575216772763
2020-07-01,1.3216584902717852
2020-10-01,1.0107213433123312
2021-01-01,0.2853722934713161
2021-04-01,-0.29184290683477826
2021-07-01,-0.006136107279451501
2021-10-01,0.11970128442926449
2022-01-01,0.021719299220711735
2022-04-01,-0.607908845725563
2022-07-01,-0.19355209114433894
2022-10-01,-0.008948670596632834
2023-01-01,-0.23716888188078544
2023-04-01,-0.8255019795347969
2023-07-01,-0.34602611191577276
